rank,T_k,T_k+1,ratio,gap
1,5,11,2.2000000000,6
2,17,29,1.7058823529,12
3,3,5,1.6666666667,2
4,11,17,1.5454545455,6
5,41,59,1.4390243902,18
6,71,101,1.4225352113,30
7,29,41,1.4137931034,12
8,107,137,1.2803738318,30
9,659,809,1.2276176024,150
10,347,419,1.2074927954,72
11,59,71,1.2033898305,12
12,149,179,1.2013422819,30
13,881,1019,1.1566401816,138
14,197,227,1.1522842640,30
15,461,521,1.1301518438,60
16,239,269,1.1255230126,30
17,311,347,1.1157556270,36
18,281,311,1.1067615658,30
19,521,569,1.0921305182,48
20,137,149,1.0875912409,12
